,Volume3d (mm^3) ,BaryCenterX (mm) ,BaryCenterY (mm) ,BaryCenterZ (mm) ,Anisotropy,Elongation,Flatness,VoxelFaceArea (mm^2),Sphericity,SurfaceParticles,Component 1,Component 2,PcaClusters
116,1.2604,-1248.68,-1257.61,-1677.27,0.820104,0.672201,0.267623,12.4518,0.4531662776262776,False,-0.5985280835648027,1.3744775819445407,0
117,1.22791,-1242.51,-1252.53,-1660.24,0.852984,0.360013,0.408362,11.9284,0.4648858076120952,False,-0.9863245000939685,-0.34235189151032225,0
118,1.19914,-1245.29,-1247.75,-1652.21,0.773737,0.945513,0.239302,11.2748,0.4841224298724794,False,0.23323517612344513,2.6760895967283487,2
119,1.17702,-1246.7,-1243.15,-1702.28,0.504857,0.874056,0.566489,9.41069,0.5728644672677414,False,2.756345542903057,1.5881071363962231,2
120,1.17616,-1244.94,-1266.26,-1678.69,0.598205,0.764741,0.525401,12.2883,0.4385003280848134,False,1.4222337844984925,0.9714377254116306,2
121,1.17604,-1253.24,-1253.14,-1650.6,0.580067,0.649958,0.646092,10.9355,0.4927124562946319,False,1.808372598291998,0.23589495226281476,2
122,1.14721,-1247.27,-1250.6,-1629.71,0.566943,0.517479,0.836859,12.5643,0.4218011662938365,False,1.8487415664434041,-1.0414773766174925,2
123,1.14124,-1234.64,-1235.15,-1682.74,0.505158,0.733857,0.674303,11.9033,0.4436781778081971,False,2.280086161279384,0.4091295489486225,2
124,1.12912,-1238.64,-1242.47,-1666.79,0.651828,0.605758,0.574772,9.04583,0.5796899478240914,False,1.461557194409116,0.43754107284350635,2
125,1.0847,-1240.3,-1260.58,-1677.0,0.724504,0.500161,0.550814,11.1033,0.4598030104887795,False,0.34713136640993747,-0.18416784098013145,1
126,1.07314,-1256.81,-1254.83,-1684.46,0.723102,0.682034,0.405988,9.4373,0.5371232505785231,False,0.6245711155824225,1.1762282040523113,2
127,1.03608,-1247.67,-1252.91,-1697.48,0.841244,0.579148,0.274119,10.0381,0.4932814684513423,False,-0.7325241733194862,1.043746370595444,0
128,1.03507,-1238.85,-1242.61,-1697.13,0.606199,0.684806,0.575054,13.5899,0.3641226356981135,False,1.0742580779529192,0.3328921134174631,2
129,1.03052,-1249.6,-1238.66,-1687.48,0.68795,0.629907,0.495391,12.334,0.4000225404549119,False,0.44101565212909727,0.40982207130366965,2
130,1.00715,-1240.22,-1230.6,-1689.03,0.768647,0.461662,0.501131,9.39435,0.517225775517819,False,0.11147598427759269,-0.0821270617796358,1
131,1.00496,-1241.06,-1238.86,-1681.39,0.586009,0.80268,0.51576,10.9047,0.4449415052313628,False,1.563181841454194,1.1741884647387597,2
132,1.00493,-1237.08,-1242.46,-1682.74,0.715193,0.48179,0.591144,11.9277,0.4067722252807869,False,0.27036351944074805,-0.49078387282951996,1
